All genes,MGI essential,Autosomal dominant,Haploinsufficient,High pLI,High Shet,High Phi,High missense z,ClinVar,OMIM,GWAS nearest,TF,DrugBank,High EDS,Olfactory,eQTL0-deficient
354,1453,3912,,1756,1937,9493,3066,753,1289,816,4212,5423,1781,347168,2695
355,1459,3930,,1759,1938,9578,3069,755,1290,817,4222,5465,1789,347468,254272
356,1460,3949,,1778,1942,9611,3093,757,1291,818,4223,5467,1795,387748,246744
357,1462,3972,,1785,1946,9646,3098,759,1292,821,4286,5468,1796,389090,256223
358,1476,3973,,1786,1947,9667,3133,760,1293,824,4297,5562,1808,390036,11248
359,1487,3990,,1789,1948,9669,3156,762,1294,825,4303,5564,1809,390037,146861
360,1488,4001,,1794,1955,9690,3178,763,1297,829,4335,5578,1826,390038,124925
361,1495,4010,,1795,1960,9693,3181,767,1298,830,4487,5604,1828,390054,400581
362,1496,4014,,1804,1964,9698,3183,771,1299,832,4488,5624,1832,390058,84643
363,1499,4018,,1808,1965,9700,3185,773,1300,833,4520,5693,1836,390059,1443
364,1514,4041,,1809,1973,9703,3187,774,1301,840,4601,5732,1839,390061,1442
366,1523,4069,,1822,1974,9710,3188,775,1302,841,4602,5733,1847,390063,494188
367,1525,4089,,1826,1975,9716,3190,776,1308,842,4603,5737,1848,390064,388333
368,1540,4093,,1828,1979,9732,3191,777,1311,845,4605,5739,1849,390066,9572
369,1544,4094,,1832,1981,9734,3192,778,1340,846,4609,5742,1856,390067,101927581
372,1581,4137,,1837,1984,9736,3196,779,1352,847,4610,5743,1871,390072,26689
373,1583,4148,,1848,1993,9739,3207,781,1355,857,4613,5745,1879,390075,4626
374,1585,4160,,1857,1994,9743,3241,783,1356,858,4617,5914,1880,390077,4622
375,1586,4208,,1859,1996,9759,3276,785,1369,860,4618,5916,1901,390078,7153
377,1589,4261,,1869,1997,9785,3309,788,1371,861,4654,5972,1902,390079,4025
378,1591,4284,,1870,1998,9793,3312,790,1374,862,4656,6093,1906,390081,147183
379,1592,4286,,1879,1999,9826,3321,801,1376,863,4661,6121,1910,390083,353288
381,1595,4287,,1889,2010,9828,3340,805,1380,864,4760,6240,1942,390084,162605
382,1600,4292,,1896,2011,9829,3480,808,1385,865,4761,6241,1945,390093,85293
383,1601,4322,,1909,2018,9839,3516,811,1387,866,4762,6256,1946,390113,83896
384,1602,4359,,1911,2019,9857,3550,814,1406,867,4772,6257,1948,390142,81850
387,1603,4436,,1915,2030,9859,3608,815,1410,868,4773,6261,1949,390144,81872
388,1605,4487,,1917,2033,9869,3609,816,1411,871,4774,6323,1951,390148,85294
389,1616,4488,,1937,2043,9879,3625,818,1413,875,4775,6331,1952,390151,100132476
390,1621,4607,,1938,2045,9887,3631,823,1417,883,4776,6336,1955,390152,728224
391,1629,4613,,1948,2047,9889,3635,825,1428,885,4778,6340,1956,390154,653240
392,1630,4618,,1951,2048,9898,3643,831,1436,889,4779,6344,1959,390155,85289
393,1636,4620,,1952,2077,9919,3651,834,1438,894,4780,6470,1960,390157,85291
394,1639,4621,,1954,2079,9931,3688,837,1439,896,4781,6510,1969,390162,83899
395,1641,4624,,1955,2091,9950,3703,838,1441,898,4782,6524,1992,390167,83900
396,1642,4625,,1956,2099,9967,3706,841,1462,902,4783,6528,1993,390168,83901
397,1644,4626,,1965,2107,9969,3708,843,1471,913,4784,6529,1995,390174,81870
398,1655,4627,,1968,2114,9972,3709,844,1475,919,4790,6530,1995,390181,100533177
399,1660,4629,,1973,2115,9989,3710,845,1476,923,4791,6531,1996,390190,83902
400,1663,4633,,1974,2117,10060,3716,846,1491,925,4800,6532,1997,390191,3857
401,1672,4634,,1975,2119,10129,3718,847,1497,928,4801,6557,1999,390195,2124
402,1717,4640,,1977,2120,10142,3720,857,1499,930,4802,6571,2006,390197,2520
403,1718,4646,,1981,2122,10147,3725,859,1509,932,4807,6611,2016,390199,727857
405,1735,4647,,1983,2131,10154,3736,860,1513,940,4808,6616,2018,390201,4991
406,1738,4653,,1993,2140,10180,3737,861,1524,941,4821,6646,2019,390260,8390
407,1745,4747,,1994,2146,10181,3742,866,1528,942,4824,6713,2022,390261,8392
408,1746,4760,,1996,2157,10260,3745,867,1536,943,4825,6716,2027,390264,56970
409,1747,4763,,1998,2158,10274,3746,871,1540,944,4831,6752,2035,390265,284257
410,1749,4771,,1999,2182,10290,3747,875,1545,945,4861,6833,2036,390271,30062
411,1750,4792,,2009,2186,10427,3749,889,1555,946,4862,6844,2042,390275,339302
412,1755,4851,,2011,2187,10499,3751,894,1557,947,4899,6850,2043,390321,5680
414,1756,4853,,2018,2194,10565,3752,898,1559,948,4901,6869,2044,390323,5671
415,1759,4854,,2022,2197,10580,3754,900,1576,949,4904,6915,2045,390326,1406
416,1767,4878,,2030,2200,10725,3755,902,1583,950,4990,7054,2048,390327,100131137
417,1777,4893,,2033,2202,10847,3756,915,1584,956,5013,7067,2049,390429,56344
419,1778,4901,,2034,2209,10869,3757,916,1585,957,5015,7097,2051,390431,284382
420,1785,4909,,2037,2210,11011,3760,917,1586,958,5017,7099,2060,390433,85509
421,1786,4915,,2039,2239,11059,3761,919,1588,962,5036,7124,2064,390436,126206
427,1788,4920,,2043,2245,11073,3763,920,1591,965,5075,7132,2065,390437,26291
429,1789,4976,,2045,2249,11100,3764,925,1593,966,5076,7137,2066,390439,114335
430,1793,5015,,2047,2252,11113,3778,926,1594,969,5077,7150,2069,390442,26330
432,1798,5048,,2048,2253,11174,3780,930,1605,974,5078,7153,2070,390445,58510
433,1801,5054,,2049,2254,11176,3782,931,1621,976,5079,7172,2078,390538,84063
434,1811,5076,,2050,2255,11198,3785,939,1629,977,5080,7173,2081,390648,7305
435,1812,5077,,2059,2258,11214,3796,940,1630,978,5081,7201,2099,390649,317701
438,1820,5078,,2064,2260,11215,3798,948,1634,987,5083,7253,2113,390882,317703
439,1822,5080,,2066,2263,22828,3800,950,1639,991,5087,7276,2115,390883,503834
440,1825,5083,,2078,2273,22862,3805,953,1641,993,5089,7298,2118,390892,4854
443,1826,5158,,2081,2280,22874,3836,958,1643,995,5090,7299,2119,391107,282617
444,1829,5274,,2091,2294,22878,3837,959,1644,997,5178,7357,2120,391109,282616
445,1830,5307,,2099,2308,22992,3839,966,1646,998,5241,7421,2122,391112,282618
460,1832,5308,,2104,2323,22999,3842,973,1650,1000,5252,7422,2123,391114,284433
462,1839,5309,,2107,2324,23001,3921,974,1663,1001,5300,7442,2131,391189,29124
463,1848,5310,,2114,2334,23013,3932,975,1674,1002,5307,7450,2134,391190,148003
466,1852,5311,,2115,2339,23019,3938,977,1678,1006,5308,7498,2139,391191,56891
467,1856,5318,,2119,2355,23020,3975,987,1690,1009,5309,7837,2176,391192,148066
468,1857,5327,,2120,2395,23028,3987,990,1716,1010,5316,7846,2180,391194,653657
471,1859,5350,,2122,2475,23036,3992,998,1717,1012,5324,7852,2185,391196,653192
